City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,faya-largeau,17.9257,19.1043,33.06,11,62,3.22,TD,1690415045
83,iqaluit,63.7506,-68.5145,8.85,76,40,2.06,CA,1690415045
84,saint-pierre,-21.3393,55.4781,19.82,83,40,3.09,RE,1690414973
85,chonchi,-42.6128,-73.8092,8.4,97,100,1.13,CL,1690414980
86,ancud,-41.8697,-73.8203,8.02,88,100,1.9,CL,1690415046
87,edinburgh of the seven seas,-37.0676,-12.3116,10.9,54,81,10.59,SH,1690414961
88,ilulissat,69.2167,-51.1,13.01,50,0,4.12,GL,1690415047
89,college,64.8569,-147.8028,28.38,57,75,2.57,US,1690414966
90,palangkaraya,-2.2,113.8333,24.14,85,72,1.16,ID,1690415049
91,bela,25.9333,81.9833,30.72,64,89,3.76,IN,1690415049
92,biala podlaska,52.0324,23.1165,12.64,95,100,6.52,PL,1690415049
93,brainerd,46.358,-94.2008,34.14,43,0,0.0,US,1690415050
94,a coruna,43.3713,-8.396,19.41,91,100,2.06,ES,1690415050
95,kamien pomorski,53.9685,14.7726,12.09,86,12,4.84,PL,1690415051
96,avarua,-21.2078,-159.775,24.03,64,40,3.09,CK,1690414968
97,vikhorevka,56.1201,101.1636,17.77,91,58,1.95,RU,1690415051
98,port alfred,-33.5906,26.891,13.99,90,100,1.34,ZA,1690415052
99,holualoa,19.6228,-155.9522,29.2,75,40,5.66,US,1690415052
100,margaret river,-33.95,115.0667,12.91,70,97,6.72,AU,1690415053
101,fada,9.5667,8.3,20.44,92,97,0.41,NG,1690415053
102,mpulungu,-8.7623,31.1141,20.08,50,74,4.76,ZM,1690415054
103,ribeira grande,38.5167,-28.7,23.21,94,28,3.13,PT,1690415055
104,tisul',55.7611,88.3122,17.9,73,21,1.41,RU,1690415055
105,kolonia town,6.964,158.206,30.06,79,40,2.06,FM,1690415056
106,inverell,-29.7833,151.1167,14.26,72,0,0.04,AU,1690415056
107,nuuk,64.1835,-51.7216,5.34,93,75,4.63,GL,1690415057
108,bengkulu,-3.8004,102.2655,24.01,88,81,2.45,ID,1690415058
109,fort meade,39.1082,-76.7432,30.79,74,0,4.63,US,1690415058
110,san antonio de pale,-1.4014,5.6325,22.98,91,98,4.45,GQ,1690415059
111,constitucion,-35.3333,-72.4167,10.2,81,100,3.64,CL,1690415059
112,hamilton,39.1834,-84.5333,30.96,69,0,8.75,US,1690414628
113,ust-nera,64.5667,143.2,14.17,61,94,3.23,RU,1690415060
114,kyshtovka,56.555,76.6271,16.15,79,100,0.43,RU,1690415061
115,gadzhiyevo,69.2551,33.3362,9.99,96,100,1.22,RU,1690415061
116,pajapan,18.25,-94.7,26.09,80,67,3.58,MX,1690415062
117,enewetak,11.3474,162.3373,28.46,76,90,6.12,MH,1690415062
118,thinadhoo,0.5333,72.9333,28.71,77,84,6.41,MV,1690415063
119,kangding,30.0513,101.9603,17.07,91,96,0.83,CN,1690415063
120,afaahiti,-17.75,-149.2833,23.93,85,69,3.54,PF,1690415020
121,lazaro cardenas,17.9583,-102.2,30.58,63,28,4.03,MX,1690415064
122,georgetown,5.4112,100.3354,26.96,95,40,1.54,MY,1690414843
123,saldanha,-33.0117,17.9442,9.03,94,57,5.19,ZA,1690415065
124,keflavik,64.0049,-22.5624,11.95,82,75,2.06,IS,1690415065
125,vyazemskiy,47.5378,134.7525,27.06,63,52,4.84,RU,1690415066
126,george town,5.4112,100.3354,26.96,95,40,1.54,MY,1690414800
127,ornskoldsvik,63.2909,18.7153,12.53,100,75,1.03,SE,1690415067
128,belmonte,-15.8631,-38.8828,22.86,75,68,3.22,BR,1690415067
129,libreville,0.3925,9.4537,25.01,88,20,2.06,GA,1690414993
130,tarawa,1.419,172.984,31.05,74,20,2.06,KI,1690415068
131,san juan pueblo,15.5833,-87.2333,30.31,86,60,1.79,HN,1690415069
132,victorica,-36.2151,-65.4359,10.21,44,81,3.15,AR,1690415069
133,charters towers,-20.1,146.2667,19.36,61,35,6.67,AU,1690415070
134,balsas,-7.5325,-46.0356,25.93,37,20,1.28,BR,1690415070
135,yuzhno-kurilsk,44.0306,145.8556,21.35,82,92,2.28,RU,1690415071
136,rethymno,35.3647,24.4714,31.79,37,0,2.16,GR,1690415071
137,port mathurin,-19.6833,63.4167,23.72,78,74,7.19,MU,1690415072
138,jindabyne,-36.4167,148.6333,11.03,36,0,1.51,AU,1690415072
139,launceston,-41.45,147.1667,11.0,86,100,5.66,AU,1690415073
140,lompoc,34.6391,-120.4579,22.69,79,100,5.14,US,1690415073
141,east london,-33.0153,27.9116,18.06,66,76,5.96,ZA,1690415074
142,xining,36.6167,101.7667,13.68,91,100,1.0,CN,1690415075
143,millbrook,32.4799,-86.3619,34.04,47,0,2.06,US,1690415075
144,chernyshevsk,52.5243,117.0174,18.4,87,100,0.87,RU,1690415076
145,kodiak,57.79,-152.4072,14.73,82,100,3.09,US,1690415077
146,carutapera,-1.195,-46.02,24.98,86,8,3.02,BR,1690415078
